['-0.0995695799809915', '-1.623500732953707', '-1.251392448501967', '-0.8077596747347328', '-0.45652089904138154', '-0.9555305573920764', '-0.36813107679120055', '-0.40175849354929394', '-0.4994179507138001', '-0.9508982994821337', '-0.33719945686558883', '0.15838203618509902', '-0.0357057385146618', '-0.00024622916761372443', '-0.0317683139608966', '0.19666138407256867', '0.26456525760392346', '0.345289931849887', '0.21273410661766926', '-0.07113489191979169']
['-0.11159111940198474', '-1.6056215151665276', '-1.2202879261684307', '-0.7910252326362649', '-0.41671298603444357', '-0.9211075633116094', '-0.42644338534376214', '-0.31976381174137447', '-0.534196452944091', '-1.0280061161518097', '-0.40601236537098884', '0.17715769654346836', '-0.016986256957881977', '0.08585155804951985', '0.07061089351773261', '0.22629183183113735', '0.19833171694642968', '0.3651556298136711', '-0.025723740148047607', '0.05241575029989084']
['-0.11455541761896385', '-1.5822928686519042', '-1.2203797899646167', '-0.8018370836171315', '-0.44058079940459083', '-0.7500972165459093', '-0.36298739895027465', '-0.29851864468720224', '-0.4191479976295442', '-0.9282388270601178', '-0.39402820830543833', '0.2145947163303693', '0.10960668192969428', '-0.048613517027762204', '-0.04097919637958209', '0.2132316266496976', '0.4896858246169156', '0.2226429079969724', '0.12939496419082086', '0.015129208813110988']
['-0.04559720688611054', '-1.5500159738864845', '-1.1614183238866844', '-0.8167715424308475', '-0.4714047886120149', '-0.7695814994421789', '-0.3859223805175769', '-0.25529166757168936', '-0.39437026756712135', '-0.834409350839754', '-0.47798424849907556', '0.13384335223171445', '-0.08118362890349494', '-0.09908833555463287', '0.007192404319842656', '0.18248296197917727', '0.26806833274248576', '0.22699691346950002', '0.2116238442560037', '-0.01172955681880315']
['-0.07295597582345917', '-1.5411330237821288', '-1.1917990644424727', '-0.8203925839126005', '-0.43508664894076765', '-0.6949662496624867', '-0.3841364656302109', '-0.2959220946608979', '-0.35725409963944305', '-0.8014254030984875', '-0.37464203970299825', '0.10206560818685426', '-0.0383894991543558', '-0.030886695492598745', '0.0669564560883575', '0.3608482499917348', '0.25662398847440876', '0.17123227996958626', '0.2947040941566229', '-0.06668397734562556']
['-0.18403608974427707', '-1.501338454080087', '-1.1335266077475645', '-0.823679610791504', '-0.42777242566324064', '-0.7340772975070609', '-0.40074758446819725', '-0.41170748598873613', '-0.38419595870822343', '-0.8368250209589799', '-0.2928904097941187', '0.030170359214146934', '0.07438612679640452', '0.10607527295748392', '0.03782620347208447', '0.4299364532033602', '0.12534732255463799', '0.1592586303750674', '0.10944426473644045', '-0.05663103898987174']
['-0.22414105485628671', '-1.505335044380677', '-1.1475095616790445', '-0.7922060348080249', '-0.429409151662368', '-0.6762498794456016', '-0.5039956496400197', '-0.3638671021660169', '-0.4591197849456073', '-0.7690021054247128', '-0.39610778810249436', '-0.33829423668069974', '-0.11425452745623059', '0.15441360084546937', '0.034263624747594194', '0.3398240456150638', '0.2487743898605307', '0.29375893992061414', '0.08605209191640219', '-0.127844833334287']
['-0.16942017009905722', '-1.4945410716511665', '-1.1746835153472843', '-0.7474603752857405', '-0.5521577005421169', '-0.6413371917884125', '-0.5518719930780273', '-0.2802500107151175', '-0.4834248850149689', '-0.8339185929768497', '-0.3592203590687778', '-0.08504578669865927', '-0.2638253449069129', '-0.01282298159268167', '0.0589307280878226', '0.23725951603717274', '0.3831496516035663', '0.26631868767241634', '0.13533171738187472', '0.04617858380079269']
['-0.2511162720048618', '-1.4273521124194342', '-1.214130539044212', '-0.8207184853514039', '-0.49608035956976637', '-0.6625023701166113', '-0.5426875660630563', '-0.4146090528629129', '-0.44865261568118714', '-0.7266953050593535', '-0.3994595333519909', '-0.1150204254521264', '-0.22046178126914634', '0.05554139117399851', '0.11643613647255632', '0.2045787860121992', '0.4784929490337769', '0.24819627962489094', '0.17134276433951326', '0.03873843029141426']
['-0.25884707699383125', '-1.3493916764021796', '-1.1965262761790065', '-0.8276683799450191', '-0.5805782326637413', '-0.6629555146233297', '-0.5145347044207081', '-0.3874571489329849', '-0.45588010026348963', '-0.7726911150173299', '-0.3587718421800269', '-0.042926125228405', '-0.16683265111512607', '0.08205349975162082', '-0.011354839346475073', '-0.025152850647767386', '0.22212827845166128', '0.3874166741967201', '0.14037298336625098', '-0.003832445293664932']
['-0.20371862376464114', '-1.3397175698295443', '-1.249089208065795', '-0.8447534035519635', '-0.6019056501209973', '-0.8029578820501686', '-0.5284785147945559', '-0.42446909903520436', '-0.39015854397581684', '-0.8788330967558755', '-0.15216290198266505', '0.10156620162228742', '0.101500161157714', '0.14533310996161566', '0.03616027894119422', '-0.010059733870956636', '0.44136888306174016', '0.3898830447966854', '0.12094483338296413', '-0.03929173915336529']
['-0.1989217839080621', '-1.3911760684218897', '-1.197479014355989', '-0.8689955873774571', '-0.6589630847675226', '-0.775652389876999', '-0.41439058912592747', '-0.3065390997746634', '-0.3241628610236304', '-0.7169459124075042', '-0.1746081077390247', '0.14699164061910577', '-0.04256787527766493', '0.07948382703794374', '-0.036692896630201075', '0.0459658610737986', '0.3593445025177466', '0.5498909637331962', '0.14534893532594045', '0.1590601640443007']
['-0.14911889433960307', '-1.4713471067974224', '-1.1573074722012562', '-0.8327187320788421', '-0.6028738039283503', '-0.763516272530748', '-0.44749211912013825', '-0.29047532505459256', '-0.2961973968738069', '-0.7169560530285041', '-0.2999537395251294', '-0.14091090731736686', '0.11956860687997606', '0.19938027697304886', '0.03394441256920497', '0.19011291339993477', '0.1273754931572411', '0.62618966717273', '0.1485230917731921', '0.028534774151113298']
['-0.09713375224761757', '-1.514174055303047', '-1.1445114534558738', '-0.8385488143385986', '-0.6218847676033818', '-0.7227647301101159', '-0.48849242415574806', '-0.35374639128645263', '-0.29885426071591864', '-0.6001460142817999', '-0.3176201205286715', '-0.1264110348953141', '0.02646523310906357', '0.12240566884477934', '-0.06442049302988583', '0.32893272712826727', '0.32927719806631406', '0.6108653759790792', '0.06480032404263815', '-0.14093198318862252']
['-0.07079685077071189', '-1.5157486935602644', '-1.1625690664245671', '-0.8776265175662995', '-0.6897739394700787', '-0.7214475755103367', '-0.4919900538130767', '-0.318239526486113', '-0.31727932362713746', '-0.6874870853705538', '-0.23625174884994826', '-0.08823449476489', '0.06203757069177098', '0.043962525245216155', '-0.17981842011213303', '0.2978230564130677', '0.14761517631510893', '0.34435260482132435', '0.03411845217148463', '0.22419649387399357']
['-0.0734010190433926', '-1.5617803214662007', '-1.2183143123471178', '-0.8241237422746164', '-0.6097206016231782', '-0.7066882675791196', '-0.48599428805803496', '-0.22661120153135725', '-0.2577577397185895', '-0.8268359931475586', '-0.30139708538850146', '-0.3024171256356769', '0.2846416496095203', '-0.056814125089181794', '-0.07507121513287227', '0.10700148261255689', '0.4673028892527024', '0.45424275373419126', '0.005715065946181615', '0.0993555429081122']
['-0.11701292117081938', '-1.6126266386281702', '-1.2202585910904578', '-0.8313941614360465', '-0.624069542853458', '-0.750213916001975', '-0.5102330264294034', '-0.3943108035702869', '-0.23063248026702138', '-0.6136163087098887', '-0.6233937803241941', '-0.24588969624083903', '0.20545007979704275', '0.13513466500573687', '-0.24933040332463052', '0.17645544442865585', '0.5395035000517965', '0.38276941598289543', '-0.07211176976561547', '-0.022570020953814187']
['-0.15589903704352104', '-1.6583162712821038', '-1.2442484822824549', '-0.8212644552704863', '-0.5935872170549114', '-0.6955840466120256', '-0.5495261855991114', '-0.3007866590128325', '-0.23373916960580068', '-0.8235097919238938', '-0.33767184445703474', '-0.14781199526041747', '0.06621798665987122', '-0.14097176318367322', '-0.15449728866418203', '0.19856747639675934', '0.36658814996480943', '0.4295656078805526', '-0.11499125237266222', '0.07151576156417529']
['-0.07015180660055038', '-1.687732191126338', '-1.233416520729763', '-0.8277891986878072', '-0.6994371207025981', '-0.6103976823579358', '-0.6238849573345885', '-0.24672463051774085', '-0.25161316254545774', '-0.559554980115758', '-0.2891791092852751', '0.1409371654399567', '0.4708832203514046', '0.08559086033039623', '-0.28670971165928577', '0.2259272383319007', '0.17742100043429268', '0.34104117835975356', '0.09964797918995222', '0.14762317041556042']
