(577, 521)
(578, 527)
(581, 527)
(582, 530)
(583, 529)
(584, 533)
(585, 531)
(586, 534)
(587, 536)
(588, 536)
(589, 538)
(590, 525)
(591, 531)
(592, 531)
(593, 531)
(594, 531)
(595, 530)
(596, 545)
(597, 546)
(598, 531)
(599, 547)
(600, 549)
(601, 549)
(602, 544)
(603, 551)
(604, 545)
(605, 538)
(606, 538)
(607, 536)
(608, 538)
(609, 537)
(610, 543)
(611, 525)
(612, 534)
(613, 546)
(614, 545)
(615, 528)
(616, 565)
(617, 529)
(618, 551)
(619, 551)
(620, 530)
(621, 533)
(622, 530)
(623, 537)
(624, 537)
(625, 538)
(626, 542)
(627, 563)
(628, 552)
(629, 538)
(630, 538)
(631, 538)
(632, 538)
(633, 538)
(634, 544)
(635, 537)
(636, 550)
(637, 542)
(638, 548)
(639, 555)
(640, 553)
(641, 545)
(642, 553)
(643, 555)
(644, 533)
(645, 585)
(646, 564)
(647, 527)
(648, 527)
(649, 527)
(650, 561)
(651, 527)
(652, 541)
(653, 542)
(654, 542)
(655, 551)
(656, 604)
(657, 604)
(658, 607)
(659, 605)
(660, 604)
(661, 534)
(662, 541)
(663, 541)
(664, 612)
(665, 612)
(666, 613)
(667, 545)
(668, 602)
(669, 602)
(670, 602)
(671, 602)
(672, 607)
(673, 549)
(674, 549)
(675, 544)
(676, 548)
(677, 534)
(678, 545)
(679, 544)
(680, 553)
(681, 603)
(682, 542)
(683, 542)
(684, 558)
(685, 558)
(819, 683)
(820, 683)
(821, 682)
(822, 664)
(823, 666)
(824, 666)
(825, 587)
(826, 600)
(827, 600)
(828, 600)
(829, 600)
(830, 545)
(831, 613)
(832, 544)
(833, 544)
(834, 663)
(835, 664)
(836, 663)
(837, 672)
(838, 664)
(839, 617)
(840, 537)
(841, 609)
(842, 529)
(843, 532)
(844, 531)
(845, 533)
(846, 533)
(847, 536)
(848, 536)
(849, 544)
(850, 643)
(851, 607)
(852, 607)
(853, 605)
(854, 643)
(855, 547)
(856, 545)
(857, 636)
(858, 550)
(859, 550)
(860, 545)
(861, 545)
(862, 545)
(863, 619)
(864, 551)
(865, 607)
(866, 590)
(867, 559)
(868, 556)
(869, 594)
(870, 594)
(871, 598)
(872, 556)
(873, 666)
(874, 599)
(875, 538)
(876, 600)
(877, 548)
(878, 627)
(879, 531)
(880, 629)
(881, 629)
(882, 630)
(883, 630)
(884, 631)
(885, 632)
(886, 634)
(887, 635)
(888, 607)
(889, 640)
(890, 550)
(891, 548)
(892, 553)
(893, 536)
(894, 538)
(895, 609)
(896, 643)
(897, 643)
(898, 643)
(899, 538)
(900, 562)
(901, 562)
(902, 541)
(903, 541)
(904, 614)
(905, 549)
(906, 546)
(907, 549)
(908, 617)
(909, 550)
(910, 647)
(911, 542)
(912, 621)
(913, 542)
(914, 538)
(915, 537)
(916, 575)
(917, 535)
(918, 648)
(919, 535)
(920, 648)
(921, 619)
(922, 526)
(923, 526)
(924, 648)
(925, 529)
(926, 533)
(927, 538)
(928, 611)
(929, 526)
(930, 639)
(931, 644)
(932, 537)
(933, 537)
(934, 536)
(935, 646)
(936, 864)
(937, 536)
(938, 540)
(939, 873)
(940, 543)
(941, 564)
(942, 543)
(943, 543)
(944, 585)
(945, 883)
(946, 875)
(947, 874)
(948, 876)
(949, 879)
(950, 834)
(951, 555)
(952, 897)
(953, 535)
(954, 887)
(955, 536)
(956, 538)
(957, 894)
(958, 887)
(959, 607)
(960, 537)
(961, 537)
(962, 905)
(963, 888)
(964, 904)
(965, 888)
(966, 605)
(967, 908)
(968, 908)
(969, 908)
(970, 908)
(971, 888)
(972, 672)
(973, 672)
(974, 888)
(975, 604)
(976, 894)
(977, 604)
(978, 605)
(979, 679)
(980, 606)
(981, 679)
(982, 518)
(984, 683)
(1111, 975)
(1112, 677)
(1115, 534)
(1116, 531)
(1117, 825)
(1118, 534)
(1119, 534)
(1122, 841)
(1123, 577)
(1124, 577)
(1127, 660)
(1128, 660)
(1129, 919)
(1130, 662)
(1131, 663)
(1132, 664)
(1133, 666)
(1134, 527)
(1135, 542)
(1136, 904)
(1137, 904)
(1138, 903)
(1139, 896)
(1140, 896)
(1141, 534)
(1142, 534)
(1143, 955)
(1144, 954)
(1145, 916)
(1146, 660)
(1147, 960)
(1148, 904)
(1149, 904)
(1150, 903)
(1151, 907)
(1152, 836)
(1153, 839)
(1154, 924)
(1155, 838)
(1156, 838)
(1157, 838)
(1158, 894)
(1159, 904)
(1160, 906)
(1161, 907)
(1162, 907)
(1163, 534)
(1164, 909)
(1165, 916)
(1166, 915)
(1167, 915)
(1168, 915)
(1169, 916)
(1170, 915)
(1171, 919)
(1172, 919)
(1173, 915)
(1174, 915)
(1175, 853)
(1176, 965)
(1177, 965)
(1178, 958)
(1179, 958)
(1180, 959)
(1181, 959)
(1182, 959)
(1183, 953)
(1184, 953)
(1185, 953)
(1186, 953)
(1187, 954)
(1188, 957)
(1189, 529)
(1190, 610)
(1191, 612)
(1192, 533)
(1193, 614)
(1194, 545)
(1195, 946)
(1196, 953)
(1197, 954)
(1198, 922)
(1199, 964)
(1200, 964)
(1201, 553)
(1202, 864)
(1203, 622)
(1204, 861)
(1205, 558)
(1206, 558)
(1207, 558)
(1208, 558)
(1209, 617)
(1210, 618)
(1211, 905)
(1212, 551)
(1213, 892)
(1214, 554)
(1215, 879)
(1216, 879)
(1217, 893)
(1218, 893)
(1219, 897)
(1220, 846)
(1221, 881)
(1222, 897)
(1223, 898)
(1224, 899)
(1225, 900)
(1226, 899)
(1227, 876)
(1228, 614)
(1229, 614)
(1230, 614)
(1231, 846)
(1232, 644)
(1233, 643)
(1234, 954)
(1235, 953)
(1236, 888)
(1237, 888)
(1238, 621)
(1239, 1178)
(1240, 1178)
(1241, 623)
(1242, 958)
(1243, 962)
(1244, 963)
(1245, 958)
(1246, 961)
(1247, 963)
(1248, 960)
(1249, 887)
(1250, 887)
(1251, 887)
(1252, 887)
(1253, 893)
(1254, 664)
(1255, 664)
(1256, 893)
(1257, 893)
(1258, 662)
(1259, 666)
(1260, 893)
(1261, 663)
(1262, 837)
(1263, 830)
(1264, 830)
(1265, 835)
(1266, 829)
(1267, 828)
(1268, 829)
(1269, 827)
(1270, 827)
(1271, 824)
(1272, 823)
(1273, 823)
(1274, 823)
(1275, 821)
